hoja,seccion,columna_excel,encabezado_principal,encabezado_sub,campo_destino,tipo_dato,descripcion
A01,A,A,TIPO DE CONTROL,,tipo_de_control,texto,
A01,A,B,PROFESIONAL,,profesional,texto,
A01,A,C,TOTAL,,total,entero,
A01,A,D,RANGO ETARIO,Menos de 4 años,rango_etario_menos_de_4_anos,entero,
A01,A,E,,5  -  9 años,rango_etario_5_9_anos,entero,
A01,A,F,,10 - 14 años,rango_etario_10_14_anos,entero,
A01,A,G,,15 - 19 años,rango_etario_15_19_anos,entero,
A01,A,H,,20 - 24 años,rango_etario_20_24_anos,entero,
A01,A,I,,25 - 29 años,rango_etario_25_29_anos,entero,
A01,A,J,,30 - 34 años,rango_etario_30_34_anos,entero,
A01,A,K,,35 - 39 años,rango_etario_35_39_anos,entero,
A01,A,L,,40 - 44 años,rango_etario_40_44_anos,entero,
A01,A,M,,45 - 49 años,rango_etario_45_49_anos,entero,
A01,A,N,,50 - 54 años,rango_etario_50_54_anos,entero,
A01,A,O,,55 - 59 años,rango_etario_55_59_anos,entero,
A01,A,P,,60 - 64 años,rango_etario_60_64_anos,entero,
A01,A,Q,,65 - 69 años,rango_etario_65_69_anos,entero,
A01,A,R,,70 - 74 años,rango_etario_70_74_anos,entero,
A01,A,S,,75 - 79 años,rango_etario_75_79_anos,entero,
A01,A,T,,80 y más años,rango_etario_80_y_mas_anos,entero,
A01,A,U,Sexo,Hombres,sexo_hombres,entero,
A01,A,V,,Mujeres,sexo_mujeres,entero,
A01,A,W,"Control con pareja, familiar u otro",,control_con_pareja_familiar_u_otro,entero,
A01,A,X,Control de diada con presencia del padre,,control_de_diada_con_presencia_del_padre,entero,
A01,A,Y,Espacios Amigables/ Adolescentes,,espacios_amigables_adolescentes,entero,
A01,A,Z,"Niños, Niñas, Adolescentes y Jóvenes SENAME",,ninos_ninas_adolescentes_y_jovenes_sename,entero,
A01,A,AA,"Niños, Niñas, Adolescentes y Jóvenes Mejor Niñez",,ninos_ninas_adolescentes_y_jovenes_mejor_ninez,entero,
A01,A,AB,Pueblos Originarios,,pueblos_originarios,entero,
A01,A,AC,Migrantes,,migrantes,entero,
A01,A,AD,Personas con discapacidad,,personas_con_discapacidad,entero,
A01,A,AE,Identificación de género,Trans masculino,identificacion_de_genero_trans_masculino,entero,
A01,A,AF,,Trans femenina,identificacion_de_genero_trans_femenina,entero,
A01,A,AG,,No binarie,identificacion_de_genero_no_binarie,entero,
A01,A,AH,Adolescente acude a control MAC con pareja,,adolescente_acude_a_control_mac_con_pareja,entero,
A01,B,A,TIPO DE CONTROL,,tipo_de_control,texto,
A01,B,B,PROFESIONAL,,profesional,texto,
A01,B,C,TOTAL,Ambos Sexos,total_ambos_sexos,entero,
A01,B,D,,Hombres,total_hombres,entero,
A01,B,E,,Mujeres,total_mujeres,entero,
A01,B,F,RANGO ETARIO,Menos de 1 mes,rango_etario_menos_de_1_mes,entero,
A01,B,G,,1 mes,rango_etario_1_mes,entero,
A01,B,H,,2 meses,rango_etario_2_meses,entero,
A01,B,I,,3 meses,rango_etario_3_meses,entero,
A01,B,J,,4 meses,rango_etario_4_meses,entero,
A01,B,K,,5 meses,rango_etario_5_meses,entero,
A01,B,L,,6 meses,rango_etario_6_meses,entero,
A01,B,M,,7  -  11 meses,rango_etario_7_11_meses,entero,
A01,B,N,,12 - 17 meses,rango_etario_12_17_meses,entero,
A01,B,O,,18  - 23  meses,rango_etario_18_23_meses,entero,
A01,B,P,,24  - 47  meses,rango_etario_24_47_meses,entero,
A01,B,Q,,48  - 59  meses,rango_etario_48_59_meses,entero,
A01,B,R,,60  - 71  meses,rango_etario_60_71_meses,entero,
A01,B,S,,6 - 9 años,rango_etario_6_9_anos,entero,
A01,B,T,,10 - 14 años,rango_etario_10_14_anos,entero,
A01,B,U,,15 - 19 años,rango_etario_15_19_anos,entero,
A01,B,V,,20 - 24 años,rango_etario_20_24_anos,entero,
A01,B,W,,25 - 29 años,rango_etario_25_29_anos,entero,
A01,B,X,,30 - 34 años,rango_etario_30_34_anos,entero,
A01,B,Y,,35 - 39 años,rango_etario_35_39_anos,entero,
A01,B,Z,,40 - 44 años,rango_etario_40_44_anos,entero,
A01,B,AA,,45 - 49 años,rango_etario_45_49_anos,entero,
A01,B,AB,,50 - 54 años,rango_etario_50_54_anos,entero,
A01,B,AC,,55 - 59 años,rango_etario_55_59_anos,entero,
A01,B,AD,,60 - 64 años,rango_etario_60_64_anos,entero,
A01,B,AE,,65 - 69 años,rango_etario_65_69_anos,entero,
A01,B,AF,,70 - 74 años,rango_etario_70_74_anos,entero,
A01,B,AG,,75 - 79 años,rango_etario_75_79_anos,entero,
A01,B,AH,,80 y más años,rango_etario_80_y_mas_anos,entero,
A01,B,AI,Control con Presencia del Padre,Menor 1 año,control_con_presencia_del_padre_menor_1_ano,entero,
A01,B,AJ,,1 año a 3 años 11 meses 29 días,control_con_presencia_del_padre_1_ano_a_3_anos_11_meses_29_dias,entero,
A01,B,AK,"Niños, Niñas, Adolescentes y Jóvenes SENAME",,ninos_ninas_adolescentes_y_jovenes_sename,entero,
A01,B,AL,"Niños, Niñas, Adolescentes y Jóvenes Mejor Niñez",,ninos_ninas_adolescentes_y_jovenes_mejor_ninez,entero,
A01,B,AM,Pueblos Originarios,,pueblos_originarios,entero,
A01,B,AN,Migrantes,,migrantes,entero,
A01,C,A,TIPO DE CONTROL,,tipo_de_control,texto,
A01,C,B,PROFESIONAL,,profesional,texto,
A01,C,C,TOTAL,,total,entero,
A01,C,F,RANGO ETARIO Y SEXO,0  -  4 años,rango_etario_y_sexo_0_4_anos,entero,
A01,C,H,,5  -  9 años,rango_etario_y_sexo_5_9_anos,entero,
A01,C,J,,10 - 14 años,rango_etario_y_sexo_10_14_anos,entero,
A01,C,L,,15 - 19 años,rango_etario_y_sexo_15_19_anos,entero,
A01,C,N,,20 - 24 años,rango_etario_y_sexo_20_24_anos,entero,
A01,C,P,,25 - 29 años,rango_etario_y_sexo_25_29_anos,entero,
A01,C,R,,30 - 34 años,rango_etario_y_sexo_30_34_anos,entero,
A01,C,T,,35 - 39 años,rango_etario_y_sexo_35_39_anos,entero,
A01,C,V,,40 - 44 años,rango_etario_y_sexo_40_44_anos,entero,
A01,C,X,,45 - 49 años,rango_etario_y_sexo_45_49_anos,entero,
A01,C,Z,,50 - 54 años,rango_etario_y_sexo_50_54_anos,entero,
A01,C,AB,,55 - 59 años,rango_etario_y_sexo_55_59_anos,entero,
A01,C,AD,,60 - 64 años,rango_etario_y_sexo_60_64_anos,entero,
A01,C,AF,,65 - 69 años,rango_etario_y_sexo_65_69_anos,entero,
A01,C,AH,,70 - 74 años,rango_etario_y_sexo_70_74_anos,entero,
A01,C,AJ,,75 - 79 años,rango_etario_y_sexo_75_79_anos,entero,
A01,C,AL,,80 y más años,rango_etario_y_sexo_80_y_mas_anos,entero,
A01,C,AN,Pueblos Originarios,,pueblos_originarios,entero,
A01,C,AO,Migrantes,,migrantes,entero,
A01,C,AP,Extensión Horaria (PRAPS),,extension_horaria_praps,entero,
A01,D,A,"LUGAR DEL CONTROL, SEGÚN EDAD",,lugar_del_control_segun_edad,entero,
A01,D,C,10 - 14 años,Ambos Sexos,c_10_14_anos_ambos_sexos,entero,
A01,D,D,,Hombres,c_10_14_anos_hombres,entero,
A01,D,E,,Mujeres,c_10_14_anos_mujeres,entero,
A01,D,F,15 - 19 años,Ambos Sexos,c_15_19_anos_ambos_sexos,entero,
A01,D,G,,Hombres,c_15_19_anos_hombres,entero,
A01,D,H,,Mujeres,c_15_19_anos_mujeres,entero,
A01,D,I,Pueblos Originarios,,pueblos_originarios,entero,
A01,D,J,Migrantes,,migrantes,entero,
A01,D,K,"Niños, Niñas, Adolescentes y Jóvenes SENAME",,ninos_ninas_adolescentes_y_jovenes_sename,entero,
A01,D,L,"Niños, Niñas, Adolescentes y Jóvenes Mejor Niñez",,ninos_ninas_adolescentes_y_jovenes_mejor_ninez,entero,
A01,E,A,CURSO,,curso,entero,
A01,E,B,TOTAL,,total,entero,
A01,E,C,Sexo,Hombres,sexo_hombres,entero,
A01,E,D,,Mujeres,sexo_mujeres,entero,
A01,E,E,Gestión de casos,Total casos gestionados,gestion_de_casos_total_casos_gestionados,entero,
A01,E,F,,Casos pesquisados con riesgo,gestion_de_casos_casos_pesquisados_con_riesgo,entero,
A01,E,G,Planificación Intervención educativa,Diagnóstico participativo,planificacion_intervencion_educativa_diagnostico_participativo,texto,
A01,E,H,,Número de problemáticas intervenidas,planificacion_intervencion_educativa_numero_de_problematicas_in,entero,
A01,E,I,,Intervenciones educativas finalizadas,planificacion_intervencion_educativa_intervenciones_educativas_,entero,
A01,E,J,Pueblos Originarios,,pueblos_originarios,entero,
A01,E,K,Migrantes,,migrantes,entero,
A01,E,L,"Niños, Niñas, Adolescentes y Jóvenes SENAME",,ninos_ninas_adolescentes_y_jovenes_sename,entero,
A01,E,M,"Niños, Niñas, Adolescentes y Jóvenes Mejor Niñez",,ninos_ninas_adolescentes_y_jovenes_mejor_ninez,entero,
A01,F,A,TIPO DE CONTROL,,tipo_de_control,texto,
A01,F,B,TOTAL,,total,entero,
A01,F,E,RANGO ETARIO Y SEXO,15 - 19 años,rango_etario_y_sexo_15_19_anos,entero,
A01,F,G,,20 - 24 años,rango_etario_y_sexo_20_24_anos,entero,
A01,F,I,,25 - 29 años,rango_etario_y_sexo_25_29_anos,entero,
A01,F,K,,30 - 34 años,rango_etario_y_sexo_30_34_anos,entero,
A01,F,M,,35 - 39 años,rango_etario_y_sexo_35_39_anos,entero,
A01,F,O,,40 - 44 años,rango_etario_y_sexo_40_44_anos,entero,
A01,F,Q,,45 - 49 años,rango_etario_y_sexo_45_49_anos,entero,
A01,F,S,,50 - 54 años,rango_etario_y_sexo_50_54_anos,entero,
A01,F,U,,55 - 59 años,rango_etario_y_sexo_55_59_anos,entero,
A01,F,W,,60 - 64 años,rango_etario_y_sexo_60_64_anos,entero,
A01,F,Y,,65 - 69 años,rango_etario_y_sexo_65_69_anos,entero,
A01,F,AA,,70 - 74 años,rango_etario_y_sexo_70_74_anos,entero,
A01,F,AC,,75 - 79 años,rango_etario_y_sexo_75_79_anos,entero,
A01,F,AE,,80 y más años,rango_etario_y_sexo_80_y_mas_anos,entero,
A01,F,AG,Migrantes,,migrantes,entero,
A01,F,AH,Pueblos Originarios,,pueblos_originarios,entero,
A01,G.,A,"RANGO ETARIO 
(en años)",,rango_etario_en_anos,entero,
A01,G.,B,PAP TOMADOS E INFORMADOS SEGÚN RESULTADO,TOTAL,pap_tomados_e_informados_segun_resultado_total,entero,
A01,G.,C,,Normales,normales,entero,
A01,G.,D,,Inadecuados y atípicos,inadecuados_y_atipicos,entero,
A01,G.,F,,Positivos,positivos,entero,
A01,G.,L,Total PAP informados en trans masculino,,total_pap_informados_en_trans_masculino,entero,
A01,G.1,A,"RANGO ETARIO 
(en años)",,rango_etario_en_anos,entero,
A01,G.1,B,RESULTADOS DE PAP INFORMADOS,TOTAL,resultados_de_pap_informados_total,entero,
A01,G.1,C,,Normales,resultados_de_pap_informados_normales,entero,
A01,G.1,D,,Inadecuados y atípicos,resultados_de_pap_informados_inadecuados_y_atipicos,entero,
A01,G.1,F,,Positivos,resultados_de_pap_informados_positivos,entero,
A01,G.1,L,Total PAP informados en trans masculino,,total_pap_informados_en_trans_masculino,entero,
A01,G.2,A,"RANGO ETARIO 
(en años)",,rango_etario_en_anos,entero,
A01,G.2,B,RESULTADOS DE PAP INFORMADOS,TOTAL,resultados_de_pap_informados_total,entero,
A01,G.2,C,,Normales,resultados_de_pap_informados_normales,entero,
A01,G.2,D,,Inadecuados y atípicos,resultados_de_pap_informados_inadecuados_y_atipicos,entero,
A01,G.2,F,,Positivos,resultados_de_pap_informados_positivos,entero,
A01,G.2,L,Total PAP informados en trans masculino,,total_pap_informados_en_trans_masculino,entero,
A01,H.,A,"RANGO ETARIO
(en años)",,rango_etario_en_anos,entero,
A01,H.,B,TOTAL EXAMEN VPH CONVENCIONAL,,total_examen_vph_convencional,entero,
A01,H.,C,RESULTADOS DE VPH CONVENCIONAL INFORMADOS,VPH (-),resultados_de_vph_convencional_informados_vph,entero,
A01,H.,D,,Positivos,positivos,entero,
A01,H.,G,Total VPH informados en trans masculino,,total_vph_informados_en_trans_masculino,entero,
A01,H.,H,Total Exámen Autotoma de VPH,,total_examen_autotoma_de_vph,entero,
A01,H.,I,RESULTADOS DE AUTOTOMA DE VPH INFORMADOS,VPH (-),resultados_de_autotoma_de_vph_informados_vph,entero,
A01,H.,J,,Positivos,positivos,entero,
A01,H.,M,Total VPH autotoma en trans masculino informados,,total_vph_autotoma_en_trans_masculino_informados,entero,
A01,H.1,A,"RANGO ETARIO
(en años)",,rango_etarioen_anos,entero,
A01,H.1,B,TOTAL,,total,entero,
A01,H.1,C,RESULTADOS DE VPH INFORMADOS,VPH (-),resultados_de_vph_informados_vph,entero,
A01,H.1,D,,Positivos,resultados_de_vph_informados_positivos,entero,
A01,H.1,G,Total VPH informados en trans masculino,,total_vph_informados_en_trans_masculino,entero,
A01,H.1,H,Total examen VPH autotoma informado,,total_examen_vph_autotoma_informado,entero,
A01,H.2,A,"RANGO ETARIO
(en años)",,rango_etarioen_anos,entero,
A01,H.2,B,TOTAL,,total,entero,
A01,H.2,C,RESULTADOS DE VPH INFORMADOS,VPH (-),resultados_de_vph_informados_vph,entero,
A01,H.2,D,,Positivos,resultados_de_vph_informados_positivos,entero,
A01,H.2,G,Total VPH informados en trans masculino,,total_vph_informados_en_trans_masculino,entero,
A01,H.2,H,Total examen VPH autotoma informado,,total_examen_vph_autotoma_informado,entero,
A02,A,A,PROFESIONAL,,profesional,texto,
A02,A,B,TOTAL,Ambos Sexos,total_ambos_sexos,entero,
A02,A,C,,Hombres,total_hombres,entero,
A02,A,D,,Mujeres,total_mujeres,entero,
A02,A,E,15 - 19 años,Hombres,c_15_19_anos_hombres,entero,
A02,A,F,,Mujeres,c_15_19_anos_mujeres,entero,
